recommendation_id,job_id,action_type,current_region,proposed_region,current_time,proposed_time,est_carbon_delta_kg,est_cost_delta_usd,confidence,rationale,status,risk_level
8ca0dda5,b959aff9,time_shift,eu-west-1,eu-west-1,2025-01-01 14:07:00,2025-01-02 02:07:00,-0.000846,0.0,0.824,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.8 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
72e72713,1065fd94,time_shift,eu-west-1,eu-west-1,2025-01-01 17:17:00,2025-01-01 21:17:00,-2.2e-05,0.0,0.659,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
53b4d8c6,bc5d1681,time_shift,eu-west-1,eu-west-1,2025-01-01 20:02:00,2025-01-02 00:02:00,-0.000314,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
71f6a6db,fe646f2e,time_shift,eu-west-1,eu-west-1,2025-01-01 06:45:00,2025-01-01 10:45:00,-0.000547,0.0,0.704,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.5 gCO₂e (cost delta: $+0.0000, confidence: 70%).",verified,low
cf99affa,8ec2fcb4,time_shift,eu-west-1,eu-west-1,2025-01-01 19:09:00,2025-01-01 23:09:00,-0.000297,0.0,0.663,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
3e8ad537,9e5441bc,time_shift,eu-west-1,eu-west-1,2025-01-01 08:22:00,2025-01-02 04:22:00,-0.000403,0.0,0.712,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.4 gCO₂e (cost delta: $+0.0000, confidence: 71%).",verified,low
fc30332b,565f8d61,time_shift,eu-west-1,eu-west-1,2025-01-01 23:55:00,2025-01-02 03:55:00,-6.6e-05,0.0,0.821,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
08a30834,288ceb65,time_shift,eu-west-1,eu-west-1,2025-01-01 22:26:00,2025-01-02 02:26:00,-0.000391,0.0,0.758,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.4 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
f5d0920d,e5d79e6a,time_shift,eu-west-1,eu-west-1,2025-01-01 20:30:00,2025-01-02 00:30:00,-0.000494,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.5 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
dbee5586,95af35ee,time_shift,eu-west-1,eu-west-1,2025-01-01 15:07:00,2025-01-02 03:07:00,-0.000573,0.0,0.823,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.6 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
d618cf30,e91331a3,time_shift,eu-west-1,eu-west-1,2025-01-01 15:39:00,2025-01-02 03:39:00,-0.00123,0.0,0.823,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.2 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
b7922f27,d6b155bf,time_shift,eu-west-1,eu-west-1,2025-01-01 19:35:00,2025-01-01 23:35:00,-0.000187,0.0,0.663,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
007e0e02,1807a747,time_shift,eu-west-1,eu-west-1,2025-01-01 20:04:00,2025-01-02 00:04:00,-0.001208,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.2 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
95bad015,9f3df590,time_shift,eu-west-1,eu-west-1,2025-01-01 20:45:00,2025-01-02 00:45:00,-0.000404,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.4 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
691f0960,e160b66c,time_shift,eu-west-1,eu-west-1,2025-01-01 22:53:00,2025-01-02 02:53:00,-0.000173,0.0,0.757,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
874ffcac,0ee35e17,time_shift,eu-west-1,eu-west-1,2025-01-01 19:59:00,2025-01-01 23:59:00,-4.4e-05,0.0,0.661,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
56b51a78,ee629fd5,time_shift,eu-west-1,eu-west-1,2025-01-01 19:49:00,2025-01-01 23:49:00,-2.6e-05,0.0,0.665,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
cc47a364,7929d93d,time_shift,eu-west-1,eu-west-1,2025-01-01 16:46:00,2025-01-02 04:46:00,-0.001596,0.0,0.887,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.6 gCO₂e (cost delta: $+0.0000, confidence: 89%).",verified,low
915e9b1b,473ec620,time_shift,eu-west-1,eu-west-1,2025-01-01 00:06:00,2025-01-01 04:06:00,-0.000867,0.0,0.691,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.9 gCO₂e (cost delta: $+0.0000, confidence: 69%).",verified,low
31e143bc,214d71ee,time_shift,eu-west-1,eu-west-1,2025-01-01 20:41:00,2025-01-02 00:41:00,-0.000112,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
5e4601d1,5706593c,time_shift,eu-west-1,eu-west-1,2025-01-01 14:50:00,2025-01-02 02:50:00,-7.8e-05,0.0,0.821,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
7b694308,5e192a2e,time_shift,eu-west-1,eu-west-1,2025-01-01 16:38:00,2025-01-01 20:38:00,-4.4e-05,0.0,0.653,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 65%).",verified,low
9d069c3c,e4f1432f,time_shift,eu-west-1,eu-west-1,2025-01-01 14:51:00,2025-01-02 02:51:00,-0.001864,0.0,0.824,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.9 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
a7b3d13f,4caf99c3,time_shift,eu-west-1,eu-west-1,2025-01-01 18:03:00,2025-01-01 22:03:00,-0.00024,0.0,0.749,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 75%).",verified,low
856fb941,ada21b68,time_shift,eu-west-1,eu-west-1,2025-01-01 23:10:00,2025-01-02 03:10:00,-0.000318,0.0,0.816,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
560bb341,37486600,time_shift,eu-west-1,eu-west-1,2025-01-01 19:01:00,2025-01-01 23:01:00,-8.9e-05,0.0,0.663,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
b34d1c68,664b0741,time_shift,eu-west-1,eu-west-1,2025-01-01 20:06:00,2025-01-02 00:06:00,-0.000767,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.8 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
b5098cde,2461812f,time_shift,eu-west-1,eu-west-1,2025-01-01 22:27:00,2025-01-02 02:27:00,-4e-05,0.0,0.755,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.0 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
f9e36c32,ca10d63a,time_shift,eu-west-1,eu-west-1,2025-01-01 06:49:00,2025-01-02 02:49:00,-0.00011,0.0,0.765,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
488cf278,c4520ba0,time_shift,eu-west-1,eu-west-1,2025-01-01 22:23:00,2025-01-02 02:23:00,-0.00016,0.0,0.759,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
bdb8e282,cd38f6e6,time_shift,eu-west-1,eu-west-1,2025-01-01 16:17:00,2025-01-02 04:17:00,-0.005011,0.0,0.886,"Shifting time shift from eu-west-1 to eu-west-1 saves 5.0 gCO₂e (cost delta: $+0.0000, confidence: 89%).",verified,low
65696843,481e0bab,time_shift,eu-west-1,eu-west-1,2025-01-01 21:55:00,2025-01-02 05:55:00,-0.000145,0.0,0.86,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 86%).",verified,low
d6f8e1de,e8c170c1,time_shift,eu-west-1,eu-west-1,2025-01-01 21:02:00,2025-01-02 01:02:00,-0.000259,0.0,0.669,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
643ecfaa,ed01711e,time_shift,eu-west-1,eu-west-1,2025-01-01 21:41:00,2025-01-02 05:41:00,-0.000713,0.0,0.862,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.7 gCO₂e (cost delta: $+0.0000, confidence: 86%).",verified,low
68cc0056,3dc9f7be,time_shift,eu-west-1,eu-west-1,2025-01-01 20:13:00,2025-01-02 00:13:00,-0.00064,0.0,0.678,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.6 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
636dc9fc,c66d18d5,time_shift,eu-west-1,eu-west-1,2025-01-01 22:26:00,2025-01-02 02:26:00,-0.000745,0.0,0.758,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.7 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
486fe1a3,7713b5bc,time_shift,eu-west-1,eu-west-1,2025-01-01 19:31:00,2025-01-01 23:31:00,-0.000149,0.0,0.663,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
70e45ae9,485d9f2e,time_shift,eu-west-1,eu-west-1,2025-01-01 20:56:00,2025-01-02 00:56:00,-0.000313,0.0,0.679,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
1c7d5b39,a7379847,time_shift,eu-west-1,eu-west-1,2025-01-01 03:02:00,2025-01-02 03:02:00,-0.001223,0.0,0.785,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.2 gCO₂e (cost delta: $+0.0000, confidence: 78%).",verified,low
f6914d1b,7e1367f4,time_shift,eu-west-1,eu-west-1,2025-01-01 19:57:00,2025-01-01 23:57:00,-0.001108,0.0,0.663,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.1 gCO₂e (cost delta: $+0.0000, confidence: 66%).",verified,low
b6c31376,768c6377,time_shift,eu-west-1,eu-west-1,2025-01-01 22:24:00,2025-01-02 02:24:00,-0.001585,0.0,0.758,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.6 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
a3cd6780,4668714e,time_shift,eu-west-1,eu-west-1,2025-01-01 17:37:00,2025-01-01 21:37:00,-0.000271,0.0,0.666,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
74550abc,53f7c492,time_shift,eu-west-1,eu-west-1,2025-01-01 14:21:00,2025-01-02 02:21:00,-0.000157,0.0,0.821,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
9ccb41b2,8c4c80e4,time_shift,eu-west-1,eu-west-1,2025-01-01 21:10:00,2025-01-02 01:10:00,-0.000264,0.0,0.67,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.3 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
ff929cb1,3911a511,time_shift,eu-west-1,eu-west-1,2025-01-01 20:05:00,2025-01-02 00:05:00,-5.6e-05,0.0,0.679,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
bd17b483,110d8da6,time_shift,eu-west-1,eu-west-1,2025-01-01 15:42:00,2025-01-02 03:42:00,-0.002049,0.0,0.823,"Shifting time shift from eu-west-1 to eu-west-1 saves 2.0 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
1e604da3,a02588db,time_shift,eu-west-1,eu-west-1,2025-01-01 17:01:00,2025-01-01 21:01:00,-0.000208,0.0,0.667,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
e598b67b,2bfa0c4b,time_shift,eu-west-1,eu-west-1,2025-01-01 17:18:00,2025-01-01 21:18:00,-0.000215,0.0,0.666,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.2 gCO₂e (cost delta: $+0.0000, confidence: 67%).",verified,low
13a56382,6a479ad1,time_shift,eu-west-1,eu-west-1,2025-01-01 23:40:00,2025-01-02 03:40:00,-0.001092,0.0,0.815,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.1 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
17ed230a,2d5c3761,time_shift,eu-west-1,eu-west-1,2025-01-01 22:56:00,2025-01-02 02:56:00,-0.000659,0.0,0.758,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.7 gCO₂e (cost delta: $+0.0000, confidence: 76%).",verified,low
83d200ab,d91343ae,time_shift,eu-west-1,eu-west-1,2025-01-01 08:22:00,2025-01-02 04:22:00,-5.1e-05,0.0,0.713,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.1 gCO₂e (cost delta: $+0.0000, confidence: 71%).",verified,low
4a611e5f,2d7d1eda,time_shift,eu-west-1,eu-west-1,2025-01-01 03:25:00,2025-01-02 03:25:00,-0.032506,0.0,0.785,"Shifting time shift from eu-west-1 to eu-west-1 saves 32.5 gCO₂e (cost delta: $+0.0000, confidence: 78%).",verified,low
52faf500,445b1aa5,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 20:23:00,2025-01-02 04:23:00,-0.299306,0.4,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 299.3 gCO₂e (cost delta: $+0.4000, confidence: 95%).",verified,low
9aa32b59,86b7f9f6,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 22:02:00,2025-01-02 02:02:00,-0.006462,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 6.5 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
4c2ab92f,bb8ebd8f,region_shift,us-east-1,us-west-2,2025-01-01 14:35:00,2025-01-01 14:35:00,-0.003918,0.02,0.95,"Shifting region shift from us-east-1 to us-west-2 saves 3.9 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
5a9a84fa,13996656,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 20:19:00,2025-01-02 04:19:00,-0.031557,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 31.6 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
863c84ea,bfafca10,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 19:07:00,2025-01-02 03:07:00,-0.023192,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 23.2 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
0c4b5f4a,68e3259b,time_shift,eu-west-1,eu-west-1,2025-01-01 18:46:00,2025-01-02 02:46:00,-0.007921,0.0,0.848,"Shifting time shift from eu-west-1 to eu-west-1 saves 7.9 gCO₂e (cost delta: $+0.0000, confidence: 85%).",verified,low
f618fb0d,0b60cc8a,region_shift+time_shift,eu-west-1,us-west-2,2025-01-01 22:14:00,2025-01-02 02:14:00,-0.042734,-0.122,0.95,"Shifting region shift+time shift from eu-west-1 to us-west-2 saves 42.7 gCO₂e (cost delta: $-0.1220, confidence: 95%).",verified,low
a7c0c62b,703236fa,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 23:49:00,2025-01-02 03:49:00,-0.004379,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 4.4 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
de82a074,2b016a9f,time_shift,eu-west-1,eu-west-1,2025-01-01 19:09:00,2025-01-02 03:09:00,-0.000695,0.0,0.843,"Shifting time shift from eu-west-1 to eu-west-1 saves 0.7 gCO₂e (cost delta: $+0.0000, confidence: 84%).",verified,low
f94dad3f,ca9ccea9,time_shift,eu-west-1,eu-west-1,2025-01-01 10:16:00,2025-01-02 02:16:00,-0.00176,0.0,0.682,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.8 gCO₂e (cost delta: $+0.0000, confidence: 68%).",verified,low
34075165,ab9c1e8d,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 15:18:00,2025-01-02 03:18:00,-0.015858,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 15.9 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
9ae4b906,2888fc57,time_shift,eu-west-1,eu-west-1,2025-01-01 08:45:00,2025-01-02 04:45:00,-0.001574,0.0,0.712,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.6 gCO₂e (cost delta: $+0.0000, confidence: 71%).",verified,low
bed2323a,dce1b705,region_shift+time_shift,eu-west-1,us-west-2,2025-01-01 18:55:00,2025-01-02 02:55:00,-0.075493,-0.1318,0.95,"Shifting region shift+time shift from eu-west-1 to us-west-2 saves 75.5 gCO₂e (cost delta: $-0.1318, confidence: 95%).",verified,low
025e3aec,c16fd3e7,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 15:03:00,2025-01-02 03:03:00,-0.004278,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 4.3 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
233aefc2,4e78918f,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 16:10:00,2025-01-02 04:10:00,-0.012547,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 12.5 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
3f0eec9f,ade7d55f,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 22:46:00,2025-01-02 02:46:00,-0.029966,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 30.0 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
0399f331,c3150886,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 18:53:00,2025-01-02 02:53:00,-0.022662,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 22.7 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
132e1125,46466233,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 18:20:00,2025-01-02 02:20:00,-0.004582,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 4.6 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
69e618ab,6081bb32,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 22:37:00,2025-01-02 02:37:00,-0.013514,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 13.5 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
a8e87c0e,6c44f179,region_shift,eu-west-1,us-west-2,2025-01-01 10:07:00,2025-01-01 10:07:00,-0.0179,-0.0408,0.95,"Shifting region shift from eu-west-1 to us-west-2 saves 17.9 gCO₂e (cost delta: $-0.0408, confidence: 95%).",verified,low
6a87eacd,35feb7d4,time_shift,eu-west-1,eu-west-1,2025-01-01 14:24:00,2025-01-02 02:24:00,-0.009746,0.0,0.824,"Shifting time shift from eu-west-1 to eu-west-1 saves 9.7 gCO₂e (cost delta: $+0.0000, confidence: 82%).",verified,low
5f66fe44,aff6a3f8,region_shift,us-east-1,us-west-2,2025-01-01 14:20:00,2025-01-01 14:20:00,-0.055616,0.02,0.95,"Shifting region shift from us-east-1 to us-west-2 saves 55.6 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
4dccd5ad,19a30347,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 16:58:00,2025-01-02 04:58:00,-0.014203,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 14.2 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
b103a07a,d77006ae,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 17:04:00,2025-01-02 01:04:00,-0.01667,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 16.7 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
111925cc,0a49d41e,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 19:47:00,2025-01-02 03:47:00,-0.023071,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 23.1 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
564b7f25,82013b41,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 18:55:00,2025-01-02 02:55:00,-0.014268,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 14.3 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
e18c4ab8,8e566078,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 20:37:00,2025-01-02 04:37:00,-0.022248,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 22.2 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
32e710f2,1c33705e,region_shift,us-east-1,us-west-2,2025-01-01 14:22:00,2025-01-01 14:22:00,-0.036412,0.02,0.95,"Shifting region shift from us-east-1 to us-west-2 saves 36.4 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
6f20a8ae,6ae72d70,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 19:44:00,2025-01-02 03:44:00,-0.010872,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 10.9 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
6dc06359,f79c5997,time_shift,eu-west-1,eu-west-1,2025-01-01 19:56:00,2025-01-02 03:56:00,-0.001491,0.0,0.844,"Shifting time shift from eu-west-1 to eu-west-1 saves 1.5 gCO₂e (cost delta: $+0.0000, confidence: 84%).",verified,low
32875a20,fa236431,region_shift+time_shift,us-east-1,us-west-2,2025-01-01 17:17:00,2025-01-02 01:17:00,-0.039302,0.02,0.95,"Shifting region shift+time shift from us-east-1 to us-west-2 saves 39.3 gCO₂e (cost delta: $+0.0200, confidence: 95%).",verified,low
b58630c3,5eee635b,time_shift,eu-west-1,eu-west-1,2025-01-01 13:10:00,2025-01-02 05:10:00,-0.007052,0.0,0.849,"Shifting time shift from eu-west-1 to eu-west-1 saves 7.1 gCO₂e (cost delta: $+0.0000, confidence: 85%).",verified,low
3d65b804,2a17d71c,region_shift,eu-west-1,us-west-2,2025-01-01 05:50:00,2025-01-01 05:50:00,-0.014753,-0.0291,0.95,"Shifting region shift from eu-west-1 to us-west-2 saves 14.8 gCO₂e (cost delta: $-0.0291, confidence: 95%).",verified,low
