verification_id,recommendation_id,counterfactual_kgco2e,actual_kgco2e,verified_savings_kgco2e,ci_lower,ci_upper,sla_compliant,verification_status,evidence_chain_steps,verified_at
8c3035b6,ff929cb1,0.000287,0.000231,5.6e-05,-4.8e-05,0.00016,True,partial,7,2026-04-09 22:20:40.163186
da3465ca,bd17b483,0.003681,0.001632,0.002048,0.000986,0.003111,True,confirmed,7,2026-04-09 22:20:40.165910
4dca3baa,1e604da3,0.001254,0.001046,0.000208,-0.000252,0.000668,True,partial,7,2026-04-09 22:20:40.167839
e6e54437,e598b67b,0.00129,0.001075,0.000214,-0.000259,0.000687,True,partial,7,2026-04-09 22:20:40.169381
539d5617,13a56382,0.002036,0.000944,0.001091,0.000496,0.001688,True,confirmed,7,2026-04-09 22:20:40.170855
803816ee,17ed230a,0.001672,0.001013,0.000659,0.000122,0.001196,True,confirmed,7,2026-04-09 22:20:40.172378
c0852f5b,83d200ab,0.000181,0.00013,5.1e-05,-1.2e-05,0.000113,True,partial,7,2026-04-09 22:20:40.173841
b3b8cf3b,4a611e5f,0.070227,0.037721,0.032506,0.010921,0.054091,True,confirmed,7,2026-04-09 22:20:40.175638
9f939b9b,52faf500,0.34275,0.043444,0.299306,0.260663,0.337949,True,confirmed,7,2026-04-09 22:20:40.178087
3f5d5227,9aa32b59,0.00731,0.000848,0.006462,0.005644,0.007278,True,confirmed,7,2026-04-09 22:20:40.179901
3b3d9b11,4c2ab92f,0.004448,0.00053,0.003918,0.003421,0.004416,True,confirmed,7,2026-04-09 22:20:40.181933
8da9c9c1,5a9a84fa,0.036138,0.004581,0.031557,0.027483,0.035632,True,confirmed,7,2026-04-09 22:20:40.183408
02ec6e97,863c84ea,0.026531,0.003339,0.023192,0.020199,0.026175,True,confirmed,7,2026-04-09 22:20:40.185089
20ec5be2,0c4b5f4a,0.012791,0.00487,0.007921,0.004392,0.011453,True,confirmed,7,2026-04-09 22:20:40.186639
1a8e8ce1,f618fb0d,0.048503,0.005769,0.042733,0.03244,0.053011,True,confirmed,7,2026-04-09 22:20:40.188104
8db5b6ff,a7c0c62b,0.004931,0.000552,0.004378,0.003829,0.004925,True,confirmed,7,2026-04-09 22:20:40.189742
0d1d7deb,de82a074,0.001141,0.000446,0.000695,0.000378,0.001013,True,confirmed,7,2026-04-09 22:20:40.191479
1dba5ee9,f94dad3f,0.008639,0.006879,0.00176,-0.00134,0.004864,True,partial,7,2026-04-09 22:20:40.194532
b207d683,34075165,0.018181,0.002323,0.015858,0.013801,0.017902,True,confirmed,7,2026-04-09 22:20:40.196386
b1662d09,9ae4b906,0.005607,0.004033,0.001574,-0.000356,0.003501,True,partial,7,2026-04-09 22:20:40.197866
ff42cbd5,bed2323a,0.081592,0.006099,0.075492,0.058561,0.092424,True,confirmed,7,2026-04-09 22:20:40.199785
f41e9a40,025e3aec,0.004905,0.000627,0.004278,0.003723,0.00483,True,confirmed,7,2026-04-09 22:20:40.201287
77aa5a7b,233aefc2,0.014396,0.001849,0.012546,0.010921,0.014166,True,confirmed,7,2026-04-09 22:20:40.202833
b5bca155,3f0eec9f,0.0339,0.003934,0.029966,0.026172,0.033749,True,confirmed,7,2026-04-09 22:20:40.204616
923ef868,0399f331,0.025896,0.003234,0.022662,0.019747,0.025578,True,confirmed,7,2026-04-09 22:20:40.206245
03245b18,132e1125,0.005236,0.000654,0.004582,0.003993,0.005172,True,confirmed,7,2026-04-09 22:20:40.207695
10a168e7,69e618ab,0.015288,0.001774,0.013514,0.011803,0.01522,True,confirmed,7,2026-04-09 22:20:40.209406
160039b7,a8e87c0e,0.019481,0.001581,0.0179,0.013847,0.021952,True,confirmed,7,2026-04-09 22:20:40.213379
46f45176,6a87eacd,0.017401,0.007655,0.009746,0.004739,0.014756,True,confirmed,7,2026-04-09 22:20:40.215225
a8e65119,5f66fe44,0.06314,0.007524,0.055616,0.048554,0.062678,True,confirmed,7,2026-04-09 22:20:40.216858
31ac8716,4dccd5ad,0.016297,0.002094,0.014203,0.012364,0.016037,True,confirmed,7,2026-04-09 22:20:40.218314
7546474d,b103a07a,0.019165,0.002495,0.01667,0.014507,0.01884,True,confirmed,7,2026-04-09 22:20:40.220258
5c6bc9a1,111925cc,0.026393,0.003322,0.023071,0.020094,0.026039,True,confirmed,7,2026-04-09 22:20:40.222606
2ce3423d,564b7f25,0.016304,0.002036,0.014268,0.012433,0.016104,True,confirmed,7,2026-04-09 22:20:40.226884
e9cdc7ee,e18c4ab8,0.025477,0.003229,0.022248,0.019376,0.025121,True,confirmed,7,2026-04-09 22:20:40.229195
00531763,32e710f2,0.041338,0.004926,0.036412,0.031788,0.041035,True,confirmed,7,2026-04-09 22:20:40.231069
ab76d784,6f20a8ae,0.012437,0.001565,0.010872,0.009469,0.01227,True,confirmed,7,2026-04-09 22:20:40.232771
f70e396c,6dc06359,0.002446,0.000955,0.001491,0.00081,0.002171,True,confirmed,7,2026-04-09 22:20:40.235339
8400bea7,32875a20,0.045183,0.005881,0.039302,0.034202,0.044418,True,confirmed,7,2026-04-09 22:20:40.236823
4a602c2a,b58630c3,0.011328,0.004276,0.007052,0.003929,0.010171,True,confirmed,7,2026-04-09 22:20:40.238666
9d25fc73,3d65b804,0.015834,0.001081,0.014753,0.011482,0.018025,True,confirmed,7,2026-04-09 22:20:40.240548
197e6daf,85ff8ee4,0.054418,0.006849,0.047569,0.041431,0.053688,True,confirmed,7,2026-04-09 22:20:40.242019
41f16e1c,42b58899,0.0167,0.001915,0.014784,0.011258,0.018321,True,confirmed,7,2026-04-09 22:20:40.246299
44161b68,4c9453ef,0.010804,0.001349,0.009455,0.008238,0.010671,True,confirmed,7,2026-04-09 22:20:40.247787
95309227,8e9fddd8,0.014207,0.001649,0.012559,0.010968,0.014144,True,confirmed,7,2026-04-09 22:20:40.249690
3979615b,f4c16fc3,0.025625,0.0032,0.022425,0.01954,0.02531,True,confirmed,7,2026-04-09 22:20:40.251207
3f751d16,7fc44937,0.008784,0.001128,0.007655,0.006664,0.008644,True,confirmed,7,2026-04-09 22:20:40.252689
a353691d,bad56596,0.057774,0.005098,0.052676,0.040601,0.064738,True,confirmed,7,2026-04-09 22:20:40.254141
fc00c35e,43a654c0,0.012866,0.001619,0.011246,0.009795,0.012693,True,confirmed,7,2026-04-09 22:20:40.255711
14019a1d,7824aaf7,0.007574,0.000986,0.006588,0.005733,0.007445,True,confirmed,7,2026-04-09 22:20:40.257169
1539924f,698d6afe,0.009212,0.001168,0.008044,0.007005,0.009083,True,confirmed,7,2026-04-09 22:20:40.258623
31039120,c21201de,0.020151,0.001736,0.018416,0.014215,0.022624,True,confirmed,7,2026-04-09 22:20:40.262084
12b89a06,f6e4968e,0.020402,0.002548,0.017854,0.015557,0.020152,True,confirmed,7,2026-04-09 22:20:40.263758
4d2c6655,0b68aacb,0.014149,0.001818,0.012332,0.010735,0.013924,True,confirmed,7,2026-04-09 22:20:40.265647
a6e0c533,379d1504,0.01827,0.002347,0.015923,0.01386,0.017979,True,confirmed,7,2026-04-09 22:20:40.267253
3fe296ed,30bb4663,0.018414,0.002112,0.016302,0.012414,0.020202,True,confirmed,7,2026-04-09 22:20:40.269234
02c93286,01e03d77,0.012338,0.001564,0.010774,0.009383,0.012165,True,confirmed,7,2026-04-09 22:20:40.270700
18e74eff,e89497fc,0.001011,0.000579,0.000431,0.000113,0.000749,True,confirmed,7,2026-04-09 22:20:40.272257
5bfd0938,64b22402,0.000628,0.000468,0.00016,-5.9e-05,0.000379,True,partial,7,2026-04-09 22:20:40.273735
28be49e2,34338f17,8.8e-05,4.9e-05,3.9e-05,1.1e-05,6.6e-05,True,confirmed,7,2026-04-09 22:20:40.275410
0eec65c5,0d6ac8f2,0.002822,0.002531,0.000292,-0.000244,0.000827,True,partial,7,2026-04-09 22:20:40.278134
217a7837,5201a57b,0.003526,0.001516,0.002009,0.001,0.003018,True,confirmed,7,2026-04-09 22:20:40.280660
3b102659,835e7730,0.003258,0.001328,0.00193,0.001012,0.002847,True,confirmed,7,2026-04-09 22:20:40.282600
65d7ef8b,5e6537a9,0.001005,0.00042,0.000585,0.0003,0.00087,True,confirmed,7,2026-04-09 22:20:40.284977
f02219c8,bee1fef0,0.002775,0.002068,0.000708,-0.00026,0.001676,True,partial,7,2026-04-09 22:20:40.286773
1d49015d,0c8d1a28,0.002311,0.000755,0.001556,0.000943,0.002169,True,confirmed,7,2026-04-09 22:20:40.288420
cfa45512,71c015fd,0.000273,9.8e-05,0.000175,0.0001,0.000249,True,confirmed,7,2026-04-09 22:20:40.290700
c13d8209,74622cf2,0.003305,0.00206,0.001245,0.000172,0.002318,True,confirmed,7,2026-04-09 22:20:40.294306
e6e1bdc2,079a277c,0.000281,0.000218,6.2e-05,-3.7e-05,0.000162,True,partial,7,2026-04-09 22:20:40.296408
40d7e2d5,7ceff38c,0.000964,0.00075,0.000214,-0.000128,0.000557,True,partial,7,2026-04-09 22:20:40.298277
7257da19,2e9ffe0f,0.000674,0.000524,0.00015,-9e-05,0.000389,True,partial,7,2026-04-09 22:20:40.301011
48bf0328,44641696,0.002643,0.002269,0.000374,-0.000609,0.001356,True,partial,7,2026-04-09 22:20:40.303588
7ff12494,840b8950,0.002629,0.001186,0.001442,0.00068,0.002206,True,confirmed,7,2026-04-09 22:20:40.306955
b8168856,15e27f63,0.00103,0.000884,0.000146,-0.000237,0.000529,True,partial,7,2026-04-09 22:20:40.309766
9a8ebfcf,7d938e42,0.001284,0.001151,0.000133,-0.000111,0.000376,True,partial,7,2026-04-09 22:20:40.311908
3a3220c7,82cb886e,0.001116,0.000623,0.000493,0.000145,0.00084,True,confirmed,7,2026-04-09 22:20:40.314455
92d42814,44480267,0.000536,0.000242,0.000294,0.000139,0.00045,True,confirmed,7,2026-04-09 22:20:40.316257
61423650,69c7892e,0.002059,0.001602,0.000457,-0.000274,0.00119,True,partial,7,2026-04-09 22:20:40.317772
26ee911f,50d30fae,0.001016,0.000872,0.000144,-0.000234,0.000521,True,partial,7,2026-04-09 22:20:40.319300
f1e4ae0a,d3fae5c5,0.00364,0.003125,0.000515,-0.000838,0.001868,True,partial,7,2026-04-09 22:20:40.320942
a40d2e37,caa84961,0.001031,0.000768,0.000263,-9.7e-05,0.000623,True,partial,7,2026-04-09 22:20:40.322485
1d94b229,a19f3237,0.00017,0.000151,1.9e-05,-4.5e-05,8.3e-05,True,partial,7,2026-04-09 22:20:40.323956
0b96c9c1,e5e5e963,0.001307,0.001172,0.000135,-0.000113,0.000383,True,partial,7,2026-04-09 22:20:40.325940
2cb2428d,6c5f5f7f,0.000273,0.00017,0.000103,1.4e-05,0.000192,True,confirmed,7,2026-04-09 22:20:40.328160
f8846bae,9707e1e0,0.001546,0.001386,0.00016,-0.000134,0.000453,True,partial,7,2026-04-09 22:20:40.329940
54eecd83,86297b8c,0.001844,0.001057,0.000787,0.000207,0.001367,True,confirmed,7,2026-04-09 22:20:40.331677
4aba956f,988dc6b3,0.00026,0.000121,0.000139,6.3e-05,0.000216,True,confirmed,7,2026-04-09 22:20:40.333669
29d4011a,aa2c91fc,0.00013,7.3e-05,5.8e-05,1.7e-05,9.8e-05,True,confirmed,7,2026-04-09 22:20:40.336082
ebac34f4,da460c6d,0.002815,0.002524,0.000291,-0.000244,0.000824,True,partial,7,2026-04-09 22:20:40.337562
27bd8a58,7f5c2529,0.002536,0.001973,0.000563,-0.000338,0.001465,True,partial,7,2026-04-09 22:20:40.339069
ea247bdf,ded6e5b3,0.001619,0.001259,0.00036,-0.000216,0.000936,True,partial,7,2026-04-09 22:20:40.340723
a86906e6,ed5d32cc,0.003716,0.002073,0.001642,0.000484,0.002799,True,confirmed,7,2026-04-09 22:20:40.342241
4e8dd52e,3ef0b18d,0.008785,0.004903,0.003883,0.001144,0.006619,True,confirmed,7,2026-04-09 22:20:40.343849
92570693,e4dc2d59,0.000137,8.5e-05,5.1e-05,7e-06,9.6e-05,True,confirmed,7,2026-04-09 22:20:40.345346
84cee6b6,34e879ac,0.00051,0.000318,0.000192,2.6e-05,0.000358,True,confirmed,7,2026-04-09 22:20:40.346870
91c4d1c2,b91e6cc4,0.001605,0.001439,0.000166,-0.000139,0.00047,True,partial,7,2026-04-09 22:20:40.349142
fb72a2f0,61be874a,0.00277,0.002155,0.000615,-0.000369,0.001601,True,partial,7,2026-04-09 22:20:40.352337
7085ebd4,3cf09af2,0.002754,0.001716,0.001038,0.000143,0.001931,True,confirmed,7,2026-04-09 22:20:40.353869
5bea91c1,54c19b28,0.000137,8.5e-05,5.1e-05,7e-06,9.6e-05,True,confirmed,7,2026-04-09 22:20:40.355616
ea35201c,881a11b6,0.001257,0.001118,0.000139,-0.000336,0.000614,True,partial,7,2026-04-09 22:20:40.357114
1c02982f,d0d170d9,0.000441,0.000395,4.6e-05,-3.8e-05,0.000129,True,partial,7,2026-04-09 22:20:40.358576
6ad27150,dd48406d,0.002777,0.001161,0.001616,0.000829,0.002404,True,confirmed,7,2026-04-09 22:20:40.360223
3bb82e05,fedba43f,0.001779,0.000803,0.000976,0.00046,0.001493,True,confirmed,7,2026-04-09 22:20:40.361746
c409e5fd,044a212f,0.001039,0.000808,0.000231,-0.000138,0.0006,True,partial,7,2026-04-09 22:20:40.363207
855fefcf,cd69d809,0.003756,0.003338,0.000418,-0.001001,0.001838,True,partial,7,2026-04-09 22:20:40.364919
3a85d871,f9eaed4c,0.003014,0.002344,0.000669,-0.000402,0.001741,True,partial,7,2026-04-09 22:20:40.366601
138d7d6a,f4135ba1,0.001031,0.000768,0.000263,-9.7e-05,0.000623,True,partial,7,2026-04-09 22:20:40.368069
2043441f,c6b464c8,0.017842,0.008065,0.009777,0.004594,0.01496,True,confirmed,7,2026-04-09 22:20:40.369530
dc77d4e9,cb0a0384,0.029146,0.016139,0.013006,0.003951,0.022062,True,confirmed,7,2026-04-09 22:20:40.370997
85e45bc0,33bc7cb9,0.04605,0.020816,0.025234,0.011856,0.038612,True,confirmed,7,2026-04-09 22:20:40.372534
3da5a5f7,acd80fb0,0.098183,0.032076,0.066108,0.040052,0.092142,True,confirmed,7,2026-04-09 22:20:40.374165
784d87d3,5b384619,1.2371,0.136515,1.100585,0.963333,1.238204,True,confirmed,7,2026-04-09 22:20:40.375627
8bb14560,4e76e963,0.367407,0.210592,0.156815,0.041215,0.272415,True,confirmed,7,2026-04-09 22:20:40.377193
138f02be,7500a1de,0.015214,0.001608,0.013606,0.0104,0.016808,True,confirmed,7,2026-04-09 22:20:40.378646
cf4bcfae,44c6be93,0.00569,0.002018,0.003672,0.002132,0.005214,True,confirmed,7,2026-04-09 22:20:40.380111
3be35fb6,d9cb12b2,0.004688,0.002016,0.002672,0.00133,0.004013,True,confirmed,7,2026-04-09 22:20:40.381811
ff2e888c,7b9404da,0.03167,0.003256,0.028414,0.024925,0.031903,True,confirmed,7,2026-04-09 22:20:40.383571
2a268f48,4e45ca7d,0.010302,0.004649,0.005653,0.002664,0.008644,True,confirmed,7,2026-04-09 22:20:40.385090
56b6f6cd,4e1784b2,0.022504,0.006809,0.015695,0.010521,0.02087,True,confirmed,7,2026-04-09 22:20:40.386546
b403e079,c0b3985b,0.015328,0.001635,0.013693,0.01199,0.015386,True,confirmed,7,2026-04-09 22:20:40.387992
083b8858,b6adacb9,0.027331,0.002916,0.024415,0.021379,0.027435,True,confirmed,7,2026-04-09 22:20:40.389554
b5920c29,a65c3ba7,0.011774,0.001643,0.010131,0.007616,0.012656,True,confirmed,7,2026-04-09 22:20:40.391017
3f4ee2a4,ac5a0b78,0.006224,0.000679,0.005545,0.004855,0.006233,True,confirmed,7,2026-04-09 22:20:40.392465
1c618f4b,05db8f45,0.006074,0.00067,0.005404,0.00473,0.00608,True,confirmed,7,2026-04-09 22:20:40.393926
ee736392,e3f1f08b,0.005928,0.002651,0.003276,0.001559,0.004992,True,confirmed,7,2026-04-09 22:20:40.395391
5f4efba0,ef840c97,0.028861,0.0023,0.026561,0.020557,0.032558,True,confirmed,7,2026-04-09 22:20:40.396878
f3247569,89040821,0.019006,0.008174,0.010832,0.005391,0.016268,True,confirmed,7,2026-04-09 22:20:40.398667
26d862b8,1da83438,0.008935,0.000918,0.008016,0.00703,0.009,True,confirmed,7,2026-04-09 22:20:40.400289
9a9bbb3a,c9082eb5,0.006512,0.00071,0.005802,0.00508,0.006522,True,confirmed,7,2026-04-09 22:20:40.401779
d7db676b,186cfbd2,0.00217,0.001009,0.001162,0.000526,0.001797,True,confirmed,7,2026-04-09 22:20:40.403236
ffba01a9,6c136281,0.007891,0.004693,0.003197,0.000684,0.005717,True,confirmed,7,2026-04-09 22:20:40.404717
702a757f,7012c6d7,0.010454,0.001075,0.009379,0.008228,0.010531,True,confirmed,7,2026-04-09 22:20:40.406168
260da731,565fda0d,0.002628,0.001098,0.001529,0.000784,0.002275,True,confirmed,7,2026-04-09 22:20:40.407671
92a9704f,92915e3e,0.009233,0.003763,0.00547,0.002869,0.008067,True,confirmed,7,2026-04-09 22:20:40.409196
64b7ca53,5ff42420,0.013084,0.002457,0.010627,0.007763,0.013484,True,confirmed,7,2026-04-09 22:20:40.410655
941417cd,76979712,0.01318,0.00186,0.01132,0.008494,0.014141,True,confirmed,7,2026-04-09 22:20:40.412193
eb2c6a6c,f138c345,0.001827,0.001636,0.000191,-0.000501,0.000884,True,partial,7,2026-04-09 22:20:40.413705
e7da0683,f13eda52,0.000898,0.000797,0.000101,-6.9e-05,0.000271,True,partial,7,2026-04-09 22:20:40.415506
952d0add,d09aaf3b,0.003819,0.0026,0.001219,-6.4e-05,0.002504,True,partial,7,2026-04-09 22:20:40.417006
f48ed0e2,b64c0b6a,0.000131,8.5e-05,4.6e-05,2e-06,8.9e-05,True,confirmed,7,2026-04-09 22:20:40.418517
b08d5f7a,d0039345,0.000151,9.8e-05,5.3e-05,3e-06,0.000103,True,confirmed,7,2026-04-09 22:20:40.419989
f70eb575,3a3a289f,0.000261,7.1e-05,0.00019,0.000123,0.000256,True,confirmed,7,2026-04-09 22:20:40.421447
e47b56cb,81e39ef4,0.001397,0.000807,0.00059,0.00015,0.001031,True,confirmed,7,2026-04-09 22:20:40.422955
094dccc5,04defff7,0.00063,0.00041,0.00022,1.2e-05,0.000428,True,confirmed,7,2026-04-09 22:20:40.424490
d520a519,8a5a7dbb,0.00302,0.001211,0.00181,0.000963,0.002656,True,confirmed,7,2026-04-09 22:20:40.426056
06dd9529,ac06b05c,0.000393,0.000349,4.4e-05,-3e-05,0.000118,True,partial,7,2026-04-09 22:20:40.427522
120c72f1,f5bf867e,0.003306,0.002962,0.000344,-0.00091,0.001598,True,partial,7,2026-04-09 22:20:40.428989
f0347781,919ccf13,0.00103,0.000731,0.000298,-5.4e-05,0.000651,True,partial,7,2026-04-09 22:20:40.430448
08f84002,a59134f5,0.002064,0.001832,0.000232,-0.000158,0.000622,True,partial,7,2026-04-09 22:20:40.432253
dd0c3e09,bc338d7d,0.001239,0.000878,0.000361,-6.2e-05,0.000785,True,partial,7,2026-04-09 22:20:40.433761
ec900e64,536ab892,0.003419,0.000935,0.002485,0.001614,0.003356,True,confirmed,7,2026-04-09 22:20:40.435294
ccdee77e,8e44525f,0.000166,0.00014,2.6e-05,-5e-06,5.6e-05,True,partial,7,2026-04-09 22:20:40.436817
2dd794d0,ee77222a,0.000251,0.000223,2.8e-05,-1.9e-05,7.6e-05,True,partial,7,2026-04-09 22:20:40.438272
0ff64532,8b14fefd,0.00123,0.000872,0.000358,-6.2e-05,0.000779,True,partial,7,2026-04-09 22:20:40.439736
c324025d,9b243f1e,0.002439,0.000601,0.001838,0.001231,0.002446,True,confirmed,7,2026-04-09 22:20:40.441198
462a34f4,db0ca68c,0.000251,0.000223,2.8e-05,-1.9e-05,7.6e-05,True,partial,7,2026-04-09 22:20:40.442645
15a98d72,9d66c49f,0.002335,0.001945,0.00039,-0.000464,0.001247,True,partial,7,2026-04-09 22:20:40.444108
2697bf2a,3f0b6b17,0.004089,0.003663,0.000426,-0.001125,0.001976,True,partial,7,2026-04-09 22:20:40.445570
09a20386,e3e9a3c8,0.000395,0.00028,0.000115,-2e-05,0.00025,True,partial,7,2026-04-09 22:20:40.447134
